Molecule Name,SMILES
CVD-0012672,Clc1cccc(c1)-c1ccc2C(=O)C(=O)N(C(=O)c3cc(=O)[nH]c4ccccc34)c2c1
CVD-0012671,Clc1cc(OC2CC(=O)N2)cc(c1)-c1ccc2C(=O)C(=O)N(Cc3cc(=O)[nH]c4ccccc34)c2c1
CVD-0012670,Clc1cc(OC2CC(=O)N2)cc(c1)-c1ccc2C(=O)C(=O)N(C(=O)c3cc(=O)[nH]c4ccccc34)c2c1
CVD-0012669,Clc1cccc(c1)-c1ccc2C(=O)C(=O)N(Cn3nnc4ccccc34)c2c1
CVD-0012668,Clc1cc(OC2CC(=O)N2)cc(c1)-c1ccc2C(=O)C(=O)N(Cn3nnc4ccccc34)c2c1
CVD-0012667,Clc1cccc(c1)-c1ccc2C(=O)C(=O)N(Cc3cncc4ccccc34)c2c1
CVD-0012666,Clc1cc(OC2CC(=O)N2)cc(c1)-c1ccc2C(=O)C(=O)N(Cc3cncc4ccccc34)c2c1
CVD-0012665,Brc1ccc2C(=O)C(=O)N(Cc3cncc4ccccc34)c2c1
CVD-0012664,Brc1ccc2C(=O)C(=O)N(Cn3nnc4ccccc34)c2c1
CVD-0012663,O=C1N(Cn2nnc3ccccc23)c2ccccc2C1=O
CVD-0012662,Cc1ccncc1CN1C(=O)C(=O)c2ccc(cc12)-c1cc(Cl)cc(OC2CC(=O)N2)c1
CVD-0012661,O=C1N(Cc2cncc3ccccc23)c2ccccc2C1=O
CVD-0012660,O=C1N(Cc2cccnc2)c2ccccc2C1=O
CVD-0012659,Cc1ccncc1CN1C(=O)C(=O)c2ccccc12
CVD-0012658,Cc1ccncc1CN1C(=O)C(=O)c2ccc(cc12)-c1cccc(Cl)c1
CVD-0012657,Cc1ccncc1CN1C(=O)C(=O)c2ccc(cc12)-c1ccccc1
CVD-0012656,Cc1ccncc1CN1C(=O)C(=O)c2ccc(Br)cc12
CVD-0012655,CC(C)(C)NC(=O)C(N(Cc1ccccc1Cl)C(=O)C=C)c1cncc2ccccc12
CVD-0012654,CNC(=O)C(N(Cc1ccccc1Cl)C(=O)C=C)c1cccnc1
CVD-0012653,CC(C)(C)NC(=O)C(N(Cc1ccccc1Cl)C(=O)C=C)c1cccnc1
CVD-0012652,CNC(=O)C(N(Cc1ccccc1Cl)C(=O)C=C)c1cncc2ccccc12
CVD-0012651,Cc1c(C)c(F)c(-c2cc(O)c(Cl)cc2S)c(c1F)-c1cc(O)c(Cl)cc1P
CVD-0012650,COC(=O)CSc1nc(C)c(Cl)c(C)c1C#[SeH]
CVD-0012649,COc1nc2-c3cc(cc(F)c3O)-c3cc(F)c(O)c(c3)-c3nc(OC)c(Cl)cc3C(=C)c2cc1Cl
CVD-0012648,CC1CC2C(C3C(=C)C=C(F)C(C)=C13)C(C)=C1CC(O)CC(N)C1=C2Cl
CVD-0012647,NC(CC(=O)c1nc(O)sc1CCl)C(O)=O
CVD-0012646,Oc1nc(CCNC(=O)c2cc(O)ccc2O)c(CCl)s1
CVD-0012645,Oc1nc(c(CCl)s1)C1(O)CCNCC1
CVD-0012644,CC(=O)NC(CC(=O)c1nc(O)sc1CCl)C(O)=O
CVD-0012643,CC(N)(CCCN)C(=O)c1nc(O)sc1CCl
CVD-0012642,CNC(CC(=O)c1nc(O)sc1CCl)C(O)=O
CVD-0012641,COCCOCC(=O)c1nc(O)sc1CCl
CVD-0012640,Oc1nc(C(=O)c2cnccn2)c(CCl)s1
CVD-0012639,Cc1[nH]cnc1Cc1nc(O)sc1CCl
CVD-0012638,OC(=O)C1CCCC(C1)C(=O)c1nc(O)sc1CCl
CVD-0012637,COCCC(=O)c1nc(O)sc1CCl
CVD-0012636,Nc1ccc(cn1)C(=O)c1nc(O)sc1CCl
CVD-0012635,CC1(CCOC(=O)C1)c1nc(O)sc1CCl
CVD-0012634,CC(CC(O)=O)(CC(O)=O)c1nc(O)sc1CCl
CVD-0012633,Oc1nc(C(=O)c2cncc(Br)c2)c(CCl)s1
CVD-0012632,Cc1ccc(cn1)C(=O)c1nc(O)sc1CCl
CVD-0012631,Oc1nc(C(=O)C(Cc2cccc(O)c2)C#N)c(CCl)s1
CVD-0012630,OC(=O)c1ccc(cn1)C(=O)c1nc(O)sc1CCl
CVD-0012629,OC(=O)c1cc(n[nH]1)C(=O)c1nc(O)sc1CCl
CVD-0012628,Oc1nc(C(=O)c2ccc(Cl)nc2)c(CCl)s1
CVD-0012627,NC(CSCC(N)C(=O)c1nc(O)sc1CCl)C(O)=O
CVD-0012626,CC(C)OC(=O)CCC(=O)c1nc(O)sc1CCl
CVD-0012625,OC(C(O)C(=O)c1nc(O)sc1CCl)C(O)=O
CVD-0012624,NC(=O)CCC(=O)c1nc(O)sc1CCl
CVD-0012623,Oc1nc(C(=O)CCc2cccc(O)c2)c(CCl)s1
CVD-0012622,CC(=O)CCC(=O)c1nc(O)sc1CCl
CVD-0012621,NC(CC(C(O)=O)C(=O)c1nc(O)sc1CCl)C(O)=O
CVD-0012620,OC(=O)c1cc(=O)cc(o1)C(=O)c1nc(O)sc1CCl
CVD-0012619,OC(=O)CCC(=O)c1nc(O)sc1CCl
CVD-0012618,OC(=O)C(Br)C(Br)C(=O)c1nc(O)sc1CCl
CVD-0012617,Cc1cnc(cn1)C(=O)c1nc(O)sc1CCl
CVD-0012616,COc1cc(OC)cc(c1)C(=O)c1nc(O)sc1CCl
CVD-0012615,NCC(=O)CCC(=O)c1nc(O)sc1CCl
CVD-0012614,Cc1nc(C)c(cc1C(O)=O)C(=O)c1nc(O)sc1CCl
CVD-0012613,NCC(=O)NC(CCC(=O)c1nc(O)sc1CCl)C(O)=O
CVD-0012612,OC(=O)CCC(=O)C(=O)c1nc(O)sc1CCl
CVD-0012611,COC(=O)CCC(=O)c1nc(O)sc1CCl
CVD-0012610,OC(=O)CC(CC(=O)c1nc(O)sc1CCl)C(O)=O
CVD-0012609,NC(CCC(=O)Nc1cccc2ccccc12)C(=O)c1nc(O)sc1CCl
CVD-0012608,OC(C1OC(=O)C(O)C1c1nc(O)sc1CCl)C(O)=O
CVD-0012607,Oc1nc(C(=O)CS(O)(=O)=O)c(CCl)s1
CVD-0012606,OC(=O)CSCC(=O)c1nc(O)sc1CCl
CVD-0012605,NC(=O)NC(NC(N)=O)C(=O)c1nc(O)sc1CCl
CVD-0012604,COCCCOCCCc1nc(O)sc1CCl
CVD-0012603,OC(=O)c1cncc(c1)C(=O)c1nc(O)sc1CCl
CVD-0012602,CC(=O)CC(=O)CCC(=O)c1nc(O)sc1CCl
CVD-0012601,CCCCC(C(O)=O)C(=O)c1nc(O)sc1CCl
CVD-0012600,CCC(C(O)=O)C(=O)c1nc(O)sc1CCl
CVD-0012599,NC(CNC(N)=O)C(=O)c1nc(O)sc1CCl
CVD-0012598,CC1(C)OC(C(O)CO)C(O1)C(CO)c1nc(O)sc1CCl
CVD-0012597,COC(=O)CC(CC(=O)OC)c1nc(O)sc1CCl
CVD-0012596,Oc1nc(C(=O)c2cnnc3ccccc23)c(CCl)s1
CVD-0012595,Oc1nc(C(=O)c2cc(=O)c3ccccc3o2)c(CCl)s1
CVD-0012594,CCOC(=O)CCC(=O)c1nc(O)sc1CCl
CVD-0012593,OC(=O)CC(=O)c1nc(O)sc1CCl
CVD-0012592,Oc1nc(C(=O)CCc2c[nH]cn2)c(CCl)s1
CVD-0012591,CCCCOC(=O)CCC(=O)c1nc(O)sc1CCl
CVD-0012590,CC(NC(C)=O)C(=O)NC(C)C(=O)NC(C)C(=O)c1nc(O)sc1CCl
CVD-0012589,Oc1nc(C(=O)c2nc(=O)[nH]c(=O)[nH]2)c(CCl)s1
CVD-0012588,Oc1nc(C(=O)CCc2nc3ccccc3[nH]2)c(CCl)s1
CVD-0012587,OC(=O)CC(O)(CC(=O)c1nc(O)sc1CCl)C(O)=O
CVD-0012586,COc1cc(cc(OC)c1OC)C(=O)c1nc(O)sc1CCl
CVD-0012585,OC(=O)CC(Cl)C(=O)c1nc(O)sc1CCl
CVD-0012584,OC(=O)CC(Br)C(=O)c1nc(O)sc1CCl
CVD-0012583,NC(CCC(=O)NC(CCC(=O)c1nc(O)sc1CCl)C(O)=O)C(O)=O
CVD-0012582,Oc1nc(CCc2ccccn2)c(CCl)s1
CVD-0012581,OC(=O)c1cccc(c1)C(=O)c1nc(O)sc1CCl
CVD-0012580,Oc1nc(C(=O)CCc2ccco2)c(CCl)s1
CVD-0012579,OCC(CO)(Cc1nc(O)sc1CCl)NCCS(O)(=O)=O
